"","X1","Publisher","Is_Fiasco"
"680",680,"Electronic Arts",FALSE
"681",681,"Microsoft Game Studios",FALSE
"682",682,"Sony Computer Entertainment",FALSE
"683",683,"Activision",FALSE
"684",684,"Electronic Arts",FALSE
"685",685,"Electronic Arts",FALSE
"686",686,"Namco Bandai Games",FALSE
"687",687,"THQ",FALSE
"688",688,"Sony Computer Entertainment",FALSE
"689",689,"THQ",FALSE
"690",690,"Sega",FALSE
"691",691,"Activision",FALSE
"692",692,"Electronic Arts",FALSE
"693",693,"Activision",FALSE
"694",694,"Activision",FALSE
"695",695,"Electronic Arts",FALSE
"696",696,"Electronic Arts",FALSE
"697",697,"Sony Computer Entertainment",FALSE
"698",698,"Electronic Arts",TRUE
"699",699,"Electronic Arts",FALSE
"700",700,"Sega",FALSE
"701",701,"Electronic Arts",FALSE
"702",702,"Activision",FALSE
"703",703,"Electronic Arts",TRUE
"704",704,"Electronic Arts",FALSE
"705",705,"Activision",TRUE
"706",706,"Ubisoft",FALSE
"707",707,"Take-Two Interactive",FALSE
"708",708,"Take-Two Interactive",TRUE
"709",709,"THQ",FALSE
"710",710,"Microsoft Game Studios",FALSE
"711",711,"Ubisoft",FALSE
"712",712,"Electronic Arts",FALSE
"713",713,"Ubisoft",FALSE
"714",714,"Sony Computer Entertainment",FALSE
"715",715,"Activision",FALSE
"716",716,"THQ",FALSE
"717",717,"Electronic Arts",FALSE
"718",718,"Ubisoft",FALSE
"719",719,"Electronic Arts",FALSE
"720",720,"Electronic Arts",FALSE
"721",721,"Activision",FALSE
"722",722,"Electronic Arts",FALSE
"723",723,"Take-Two Interactive",FALSE
"724",724,"Electronic Arts",FALSE
"725",725,"Electronic Arts",FALSE
"726",726,"Namco Bandai Games",FALSE
"727",727,"THQ",FALSE
"728",728,"Electronic Arts",FALSE
"729",729,"Electronic Arts",FALSE
"730",730,"THQ",FALSE
"731",731,"Namco Bandai Games",FALSE
"732",732,"Sony Computer Entertainment",FALSE
"733",733,"Take-Two Interactive",FALSE
"734",734,"Electronic Arts",FALSE
